Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,3.0,9.0,black,b24bk,< LOD,8.21,< LOD,1922.62,52.56,10.94,< LOD,22.64,< LOD,144.16,893299.5,1139.64,< LOD,8.66,< LOD,6.72,87000.19,1553.88,< LOD,16.71,854.51,153.91,< LOD,156.82,< LOD,72.33,0,0,< LOD,66.29,12554.22,362.92,0,0,0,0,1156.7,282.08,< LOD,12360.28,< LOD,208.15,< LOD,4.33,< LOD,3.61,< LOD,124.09,< LOD,618.6,< LOD,19.6,< LOD,8.02,< LOD,1.5,0,0,< LOD,443.64,< LOD,29.36,0,0,< LOD,9.33,4612.47,767.54,< LOD,26.84,325.82,9.73,0,0,0,0,0,0,142.62,57.52,0,0,< LOD,53.97,< LOD,177.53,< LOD,43.1,< LOD,10.37
Mining,120.0,8.5,18.0,black,C6bkmark,< LOD,4.88,< LOD,752.95,15.25,4.78,< LOD,7.71,< LOD,53.83,773113.13,1145.72,< LOD,3.17,< LOD,2.19,209548.81,1449.64,13.61,6.24,2273.96,58.27,< LOD,55.35,31.42,17.5,0,0,1292.99,37.41,5418.2,133.32,0,0,0,0,1007.59,132.9,< LOD,4283.39,< LOD,77.24,< LOD,1.53,< LOD,1.5,< LOD,40.85,< LOD,192.45,17.18,4.51,< LOD,5.63,< LOD,1.5,0,0,1298.93,101.25,< LOD,22.93,0,0,< LOD,2.54,5621.61,328.83,< LOD,23.92,132.87,3.32,0,0,0,0,0,0,207.81,52.36,0,0,< LOD,32.43,< LOD,57.5,< LOD,12.11,< LOD,2.0
Mining,120.0,2.7,10.5,black,b12inscripmid,< LOD,8.3,< LOD,1211.24,27.22,7.21,< LOD,14.05,158.7,75.83,739067.44,1863.4,< LOD,6.32,4.63,2.51,238207.67,2118.98,< LOD,16.36,1566.35,78.87,< LOD,117.99,48.19,29.95,0,0,< LOD,41.05,12365.37,291.76,0,0,0,0,1825.3,197.81,< LOD,7453.7,< LOD,146.75,< LOD,2.99,< LOD,2.5,< LOD,78.97,< LOD,300.66,< LOD,13.71,< LOD,8.01,< LOD,1.5,0,0,398.46,145.89,< LOD,42.73,0,0,< LOD,5.69,5779.72,447.47,< LOD,29.86,272.89,7.11,0,0,0,0,0,0,277.14,75.0,0,0,< LOD,62.46,< LOD,113.95,< LOD,19.72,< LOD,5.03
Mining,120.0,4.7,8.8,black,b26bk,< LOD,6.07,< LOD,1136.16,20.43,5.46,< LOD,10.64,< LOD,68.85,753515.94,1408.54,< LOD,4.27,3.39,1.84,212815.61,1671.94,< LOD,10.0,2174.24,72.07,< LOD,94.47,39.8,22.81,0,0,< LOD,25.6,12992.93,235.46,0,0,0,0,1388.13,163.31,< LOD,6323.33,< LOD,109.93,< LOD,1.92,< LOD,1.54,< LOD,51.67,< LOD,278.67,9.72,4.95,< LOD,4.43,< LOD,1.5,0,0,2125.21,140.73,< LOD,18.46,0,0,< LOD,3.55,13472.67,555.22,< LOD,23.16,227.68,5.08,0,0,0,0,0,0,287.8,63.1,0,0,< LOD,48.65,< LOD,73.49,19.35,9.28,< LOD,3.16
Mining,120.0,5.0,2.7,black,f15bk,< LOD,7.61,< LOD,1227.26,164.42,30.78,< LOD,18.63,< LOD,82.06,910295.88,790.64,< LOD,12.85,< LOD,5.66,69954.96,1118.93,< LOD,11.69,738.54,105.93,< LOD,81.24,< LOD,38.01,0,0,7791.78,141.95,4527.53,179.61,0,0,0,0,1779.92,208.46,< LOD,8185.26,< LOD,144.83,< LOD,3.04,< LOD,2.54,< LOD,84.84,< LOD,424.06,933.07,31.91,< LOD,5.45,< LOD,1.5,0,0,< LOD,364.69,< LOD,22.28,0,0,< LOD,6.74,3190.54,526.94,87.73,17.79,192.35,5.98,0,0,0,0,0,0,342.39,46.86,0,0,< LOD,33.8,< LOD,179.78,< LOD,30.02,< LOD,4.47
Mining,120.0,7.0,12.1,black,b5bk,< LOD,5.94,< LOD,1088.42,< LOD,5.22,< LOD,7.78,< LOD,57.77,764545.19,1207.75,< LOD,3.35,3.63,1.51,211123.25,1481.21,< LOD,9.61,6090.81,100.28,< LOD,42.39,< LOD,27.42,0,0,< LOD,20.57,2163.16,91.49,0,0,0,0,1038.9,134.41,< LOD,5962.52,< LOD,87.43,< LOD,1.5,< LOD,1.5,< LOD,42.48,442.39,203.42,< LOD,4.6,< LOD,4.07,< LOD,1.5,0,0,3789.28,157.81,< LOD,21.69,0,0,< LOD,2.76,9187.82,480.4,< LOD,21.8,160.74,3.71,0,0,0,0,0,0,457.26,56.49,0,0,< LOD,33.31,< LOD,58.61,< LOD,10.31,< LOD,2.15
Mining,120.0,4.5,3.5,black,f9bk,< LOD,5.21,< LOD,960.72,83.23,16.86,< LOD,13.54,< LOD,79.17,862831.19,969.89,< LOD,7.5,10.32,2.99,112369.32,1220.64,< LOD,8.68,1543.53,75.56,< LOD,86.39,43.63,18.87,0,0,2539.28,65.95,8202.52,203.98,0,0,0,0,2541.91,175.83,< LOD,5515.75,< LOD,115.91,< LOD,2.38,< LOD,1.97,< LOD,61.5,< LOD,321.33,350.15,16.73,< LOD,3.86,< LOD,1.5,0,0,2903.34,168.0,< LOD,16.48,0,0,< LOD,4.42,5679.54,424.22,65.02,12.46,217.6,5.45,0,0,0,0,0,0,532.56,49.67,0,0,< LOD,45.41,< LOD,90.69,68.61,14.7,< LOD,3.92
Mining,120.0,5.0,11.7,blue,b8bl,9.4,5.38,< LOD,1042.84,383.28,51.31,< LOD,22.85,< LOD,110.16,910144.56,754.32,< LOD,20.64,< LOD,7.63,45657.48,829.61,< LOD,13.3,991.56,87.83,< LOD,76.1,< LOD,31.87,0,0,21830.63,259.94,4693.02,164.46,0,0,0,0,931.45,164.39,< LOD,11368.46,< LOD,129.03,< LOD,2.87,< LOD,2.32,< LOD,69.8,< LOD,344.38,3003.89,59.55,< LOD,6.29,2.03,1.02,0,0,747.84,178.83,< LOD,24.07,0,0,< LOD,6.94,10826.74,594.63,397.5,25.8,163.04,5.39,0,0,0,0,0,0,217.56,35.52,0,0,< LOD,29.81,< LOD,115.89,< LOD,37.54,< LOD,4.18
Mining,120.0,7.0,11.5,blue,b10bl,< LOD,6.93,< LOD,890.46,417.79,45.77,< LOD,20.14,< LOD,78.02,919146.25,632.01,< LOD,18.32,< LOD,6.69,42414.68,764.98,< LOD,13.05,1168.07,80.65,< LOD,67.8,< LOD,44.42,0,0,20654.91,230.12,4265.95,145.87,0,0,0,0,1091.82,154.54,< LOD,5219.11,< LOD,113.21,< LOD,2.41,< LOD,1.98,< LOD,63.29,< LOD,304.18,2742.94,51.92,< LOD,5.72,2.27,1.0,0,0,< LOD,348.88,< LOD,29.53,0,0,< LOD,6.03,7306.3,485.99,396.74,23.95,147.63,4.71,0,0,0,0,0,0,239.02,32.88,0,0,< LOD,35.54,< LOD,102.39,< LOD,33.73,< LOD,3.57
Mining,120.0,6.6,11.4,blue,b10bl,8.06,4.2,< LOD,1049.22,532.75,43.48,< LOD,18.71,< LOD,69.66,878813.25,818.13,< LOD,17.24,< LOD,5.99,50378.3,759.29,< LOD,11.54,3935.24,80.15,< LOD,64.76,< LOD,25.18,0,0,23983.89,231.75,5107.61,141.18,0,0,0,0,1388.35,138.23,< LOD,4265.29,< LOD,103.7,< LOD,2.03,< LOD,1.59,< LOD,51.09,< LOD,300.14,2947.17,49.29,< LOD,4.9,2.22,1.0,0,0,3717.57,148.26,< LOD,20.15,0,0,< LOD,4.92,28163.77,652.77,562.9,23.54,158.33,4.44,0,0,0,0,0,0,273.82,32.6,0,0,< LOD,27.98,< LOD,88.61,< LOD,31.23,< LOD,3.06
