Type,Duration,X,Y,Color,SAMPLE,Ag,Ag Error,Al,Al Error,As,As Error,Au,Au Error,Ba,Ba Error,Bal,Bal Error,Bi,Bi Error,Br,Br Error,Ca,Ca Error,Cd,Cd Error,Cl,Cl Error,Co,Co Error,Cr,Cr Error,Cs,Cs Error,Cu,Cu Error,Fe,Fe Error,Hf,Hf Error,Hg,Hg Error,K,K Error,Mg,Mg Error,Mn,Mn Error,Mo,Mo Error,Nb,Nb Error,Ni,Ni Error,P,P Error,Pb,Pb Error,Pd,Pd Error,Rb,Rb Error,Re,Re Error,S,S Error,Sb,Sb Error,Sc,Sc Error,Se,Se Error,Si,Si Error,Sn,Sn Error,Sr,Sr Error,Ta,Ta Error,Te,Te Error,Th,Th Error,Ti,Ti Error,U,U Error,V,V Error,W,W Error,Zn,Zn Error,Zr,Zr Error
Mining,120.0,3.0,9.0,black,b24bk,,8.21,,1922.62,52.56,10.94,,22.64,,144.16,893299.5,1139.64,,8.66,,6.72,87000.19,1553.88,,16.71,854.51,153.91,,156.82,,72.33,0,0,,66.29,12554.22,362.92,0,0,0,0,1156.7,282.08,,12360.28,,208.15,,4.33,,3.61,,124.09,,618.6,,19.6,,8.02,,1.5,0,0,,443.64,,29.36,0,0,,9.33,4612.47,767.54,,26.84,325.82,9.73,0,0,0,0,0,0,142.62,57.52,0,0,,53.97,,177.53,,43.1,,10.37
Mining,120.0,8.5,18.0,black,C6bkmark,,4.88,,752.95,15.25,4.78,,7.71,,53.83,773113.13,1145.72,,3.17,,2.19,209548.81,1449.64,13.61,6.24,2273.96,58.27,,55.35,31.42,17.5,0,0,1292.99,37.41,5418.2,133.32,0,0,0,0,1007.59,132.9,,4283.39,,77.24,,1.53,,1.5,,40.85,,192.45,17.18,4.51,,5.63,,1.5,0,0,1298.93,101.25,,22.93,0,0,,2.54,5621.61,328.83,,23.92,132.87,3.32,0,0,0,0,0,0,207.81,52.36,0,0,,32.43,,57.5,,12.11,,2.0
Mining,120.0,2.7,10.5,black,b12inscripmid,,8.3,,1211.24,27.22,7.21,,14.05,158.7,75.83,739067.44,1863.4,,6.32,4.63,2.51,238207.67,2118.98,,16.36,1566.35,78.87,,117.99,48.19,29.95,0,0,,41.05,12365.37,291.76,0,0,0,0,1825.3,197.81,,7453.7,,146.75,,2.99,,2.5,,78.97,,300.66,,13.71,,8.01,,1.5,0,0,398.46,145.89,,42.73,0,0,,5.69,5779.72,447.47,,29.86,272.89,7.11,0,0,0,0,0,0,277.14,75.0,0,0,,62.46,,113.95,,19.72,,5.03
Mining,120.0,4.7,8.8,black,b26bk,,6.07,,1136.16,20.43,5.46,,10.64,,68.85,753515.94,1408.54,,4.27,3.39,1.84,212815.61,1671.94,,10.0,2174.24,72.07,,94.47,39.8,22.81,0,0,,25.6,12992.93,235.46,0,0,0,0,1388.13,163.31,,6323.33,,109.93,,1.92,,1.54,,51.67,,278.67,9.72,4.95,,4.43,,1.5,0,0,2125.21,140.73,,18.46,0,0,,3.55,13472.67,555.22,,23.16,227.68,5.08,0,0,0,0,0,0,287.8,63.1,0,0,,48.65,,73.49,19.35,9.28,,3.16
Mining,120.0,5.0,2.7,black,f15bk,,7.61,,1227.26,164.42,30.78,,18.63,,82.06,910295.88,790.64,,12.85,,5.66,69954.96,1118.93,,11.69,738.54,105.93,,81.24,,38.01,0,0,7791.78,141.95,4527.53,179.61,0,0,0,0,1779.92,208.46,,8185.26,,144.83,,3.04,,2.54,,84.84,,424.06,933.07,31.91,,5.45,,1.5,0,0,,364.69,,22.28,0,0,,6.74,3190.54,526.94,87.73,17.79,192.35,5.98,0,0,0,0,0,0,342.39,46.86,0,0,,33.8,,179.78,,30.02,,4.47
Mining,120.0,7.0,12.1,black,b5bk,,5.94,,1088.42,,5.22,,7.78,,57.77,764545.19,1207.75,,3.35,3.63,1.51,211123.25,1481.21,,9.61,6090.81,100.28,,42.39,,27.42,0,0,,20.57,2163.16,91.49,0,0,0,0,1038.9,134.41,,5962.52,,87.43,,1.5,,1.5,,42.48,442.39,203.42,,4.6,,4.07,,1.5,0,0,3789.28,157.81,,21.69,0,0,,2.76,9187.82,480.4,,21.8,160.74,3.71,0,0,0,0,0,0,457.26,56.49,0,0,,33.31,,58.61,,10.31,,2.15
Mining,120.0,4.5,3.5,black,f9bk,,5.21,,960.72,83.23,16.86,,13.54,,79.17,862831.19,969.89,,7.5,10.32,2.99,112369.32,1220.64,,8.68,1543.53,75.56,,86.39,43.63,18.87,0,0,2539.28,65.95,8202.52,203.98,0,0,0,0,2541.91,175.83,,5515.75,,115.91,,2.38,,1.97,,61.5,,321.33,350.15,16.73,,3.86,,1.5,0,0,2903.34,168.0,,16.48,0,0,,4.42,5679.54,424.22,65.02,12.46,217.6,5.45,0,0,0,0,0,0,532.56,49.67,0,0,,45.41,,90.69,68.61,14.7,,3.92
Mining,120.0,5.0,11.7,blue,b8bl,9.4,5.38,,1042.84,383.28,51.31,,22.85,,110.16,910144.56,754.32,,20.64,,7.63,45657.48,829.61,,13.3,991.56,87.83,,76.1,,31.87,0,0,21830.63,259.94,4693.02,164.46,0,0,0,0,931.45,164.39,,11368.46,,129.03,,2.87,,2.32,,69.8,,344.38,3003.89,59.55,,6.29,2.03,1.02,0,0,747.84,178.83,,24.07,0,0,,6.94,10826.74,594.63,397.5,25.8,163.04,5.39,0,0,0,0,0,0,217.56,35.52,0,0,,29.81,,115.89,,37.54,,4.18
Mining,120.0,7.0,11.5,blue,b10bl,,6.93,,890.46,417.79,45.77,,20.14,,78.02,919146.25,632.01,,18.32,,6.69,42414.68,764.98,,13.05,1168.07,80.65,,67.8,,44.42,0,0,20654.91,230.12,4265.95,145.87,0,0,0,0,1091.82,154.54,,5219.11,,113.21,,2.41,,1.98,,63.29,,304.18,2742.94,51.92,,5.72,2.27,1.0,0,0,,348.88,,29.53,0,0,,6.03,7306.3,485.99,396.74,23.95,147.63,4.71,0,0,0,0,0,0,239.02,32.88,0,0,,35.54,,102.39,,33.73,,3.57
Mining,120.0,6.6,11.4,blue,b10bl,8.06,4.2,,1049.22,532.75,43.48,,18.71,,69.66,878813.25,818.13,,17.24,,5.99,50378.3,759.29,,11.54,3935.24,80.15,,64.76,,25.18,0,0,23983.89,231.75,5107.61,141.18,0,0,0,0,1388.35,138.23,,4265.29,,103.7,,2.03,,1.59,,51.09,,300.14,2947.17,49.29,,4.9,2.22,1.0,0,0,3717.57,148.26,,20.15,0,0,,4.92,28163.77,652.77,562.9,23.54,158.33,4.44,0,0,0,0,0,0,273.82,32.6,0,0,,27.98,,88.61,,31.23,,3.06
Mining,120.0,8.0,11.6,blue,b11bl,10.33,5.76,,2170.96,337.91,39.1,,19.59,144.45,66.97,815751.56,1359.54,,16.01,,5.98,107441.79,1260.4,,13.78,8100.81,147.39,,72.62,,35.5,0,0,15119.1,198.84,4259.84,156.79,0,0,0,0,1770.86,178.63,,7529.56,,135.9,,2.71,,2.3,,67.88,,710.09,1776.5,42.16,,7.14,2.54,1.0,0,0,10462.7,287.68,29.35,18.47,0,0,,6.35,33763.77,957.39,367.88,25.64,205.28,5.79,0,0,0,0,0,0,434.61,48.11,0,0,,30.14,,108.05,,31.78,,4.17
Mining,92.6,7.0,2.7,green,f17g,,3.47,,14971.19,23.11,7.32,,12.51,,61.04,901555.0,766.44,,4.96,,3.49,93351.26,1845.86,,7.02,,2073.55,,57.3,,41.45,0,0,2232.83,67.12,1741.86,113.39,0,0,0,0,775.71,164.63,,350732.69,,123.42,,2.41,,1.98,,71.3,,9032.17,26.07,6.63,,3.39,,1.5,0,0,,3859.76,,13.65,0,0,,4.49,,10364.25,,12.75,142.61,4.65,0,0,0,0,0,0,150.76,40.43,0,0,,26.05,,96.89,,31.13,,3.29
Mining,120.0,6.8,2.8,green,f17g,,8.22,,2229.42,53.17,9.72,,11.98,,159.16,747570.25,1633.52,,5.76,,3.91,182274.3,1614.35,,13.86,7925.99,170.65,,56.31,,44.97,0,0,6225.07,107.24,2168.2,113.75,0,0,0,0,1268.99,159.04,,19522.92,,122.45,,2.32,,1.86,,63.32,841.3,432.34,71.84,8.66,,7.11,,1.5,0,0,21837.51,454.76,,25.86,0,0,,4.51,26969.93,1101.58,,35.21,207.79,5.34,0,0,0,0,0,0,416.82,57.79,0,0,,30.09,,89.8,,23.11,,4.28
